"Country or Area","Sex","Age","Occupation"
"Seychelles","Both Sexes","30 - 34","Total (ISCO 88)"
"Seychelles","Both Sexes","35 - 39","Armed forces (ISCO 88 - 0)"
"Seychelles","Both Sexes","35 - 39","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Both Sexes","35 - 39","Professionals (ISCO 88 - 2)"
"Seychelles","Both Sexes","35 - 39","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Both Sexes","35 - 39","Clerks (ISCO 88 - 4)"
"Seychelles","Both Sexes","35 - 39","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Both Sexes","35 - 39","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Both Sexes","35 - 39","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Both Sexes","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Both Sexes","35 - 39","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Both Sexes","35 - 39","Unknown"
"Seychelles","Both Sexes","35 - 39","Total (ISCO 88)"
"Seychelles","Both Sexes","40 - 44","Armed forces (ISCO 88 - 0)"
"Seychelles","Both Sexes","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Both Sexes","40 - 44","Professionals (ISCO 88 - 2)"
"Seychelles","Both Sexes","40 - 44","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Both Sexes","40 - 44","Clerks (ISCO 88 - 4)"
"Seychelles","Both Sexes","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Both Sexes","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Both Sexes","40 - 44","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Both Sexes","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Both Sexes","40 - 44","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Both Sexes","40 - 44","Unknown"
"Seychelles","Both Sexes","40 - 44","Total (ISCO 88)"
"Seychelles","Both Sexes","45 - 49","Armed forces (ISCO 88 - 0)"
"Seychelles","Both Sexes","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Both Sexes","45 - 49","Professionals (ISCO 88 - 2)"
"Seychelles","Both Sexes","45 - 49","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Both Sexes","45 - 49","Clerks (ISCO 88 - 4)"
"Seychelles","Both Sexes","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Both Sexes","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Both Sexes","45 - 49","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Both Sexes","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Both Sexes","45 - 49","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Both Sexes","45 - 49","Unknown"
"Seychelles","Both Sexes","45 - 49","Total (ISCO 88)"
"Seychelles","Both Sexes","50 - 54","Armed forces (ISCO 88 - 0)"
"Seychelles","Both Sexes","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Both Sexes","50 - 54","Professionals (ISCO 88 - 2)"
"Seychelles","Both Sexes","50 - 54","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Both Sexes","50 - 54","Clerks (ISCO 88 - 4)"
"Seychelles","Both Sexes","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Both Sexes","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Both Sexes","50 - 54","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Both Sexes","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Both Sexes","50 - 54","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Both Sexes","50 - 54","Unknown"
"Seychelles","Both Sexes","50 - 54","Total (ISCO 88)"
"Seychelles","Both Sexes","55 - 59","Armed forces (ISCO 88 - 0)"
"Seychelles","Both Sexes","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Both Sexes","55 - 59","Professionals (ISCO 88 - 2)"
"Seychelles","Both Sexes","55 - 59","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Both Sexes","55 - 59","Clerks (ISCO 88 - 4)"
"Seychelles","Both Sexes","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Both Sexes","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Both Sexes","55 - 59","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Both Sexes","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Both Sexes","55 - 59","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Both Sexes","55 - 59","Unknown"
"Seychelles","Both Sexes","55 - 59","Total (ISCO 88)"
"Seychelles","Both Sexes","60 - 64","Armed forces (ISCO 88 - 0)"
"Seychelles","Both Sexes","60 - 64","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Both Sexes","60 - 64","Professionals (ISCO 88 - 2)"
"Seychelles","Both Sexes","60 - 64","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Both Sexes","60 - 64","Clerks (ISCO 88 - 4)"
"Seychelles","Both Sexes","60 - 64","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Both Sexes","60 - 64","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Both Sexes","60 - 64","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Both Sexes","60 - 64","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Both Sexes","60 - 64","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Both Sexes","60 - 64","Unknown"
"Seychelles","Both Sexes","60 - 64","Total (ISCO 88)"
"Seychelles","Both Sexes","65 +","Armed forces (ISCO 88 - 0)"
"Seychelles","Both Sexes","65 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Both Sexes","65 +","Professionals (ISCO 88 - 2)"
"Seychelles","Both Sexes","65 +","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Both Sexes","65 +","Clerks (ISCO 88 - 4)"
"Seychelles","Both Sexes","65 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Both Sexes","65 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Both Sexes","65 +","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Both Sexes","65 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Both Sexes","65 +","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Both Sexes","65 +","Unknown"
"Seychelles","Both Sexes","65 +","Total (ISCO 88)"
"Seychelles","Male","10 - 14","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","10 - 14","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","10 - 14","Professionals (ISCO 88 - 2)"
"Seychelles","Male","10 - 14","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","10 - 14","Clerks (ISCO 88 - 4)"
"Seychelles","Male","10 - 14","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","10 - 14","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","10 - 14","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","10 - 14","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","10 - 14","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","10 - 14","Unknown"
"Seychelles","Male","10 - 14","Total (ISCO 88)"
"Seychelles","Male","10 +","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","10 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","10 +","Professionals (ISCO 88 - 2)"
"Seychelles","Male","10 +","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","10 +","Clerks (ISCO 88 - 4)"
"Seychelles","Male","10 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","10 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","10 +","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","10 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","10 +","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","10 +","Unknown"
"Seychelles","Male","10 +","Total (ISCO 88)"
"Seychelles","Male","15 - 19","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","15 - 19","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","15 - 19","Professionals (ISCO 88 - 2)"
"Seychelles","Male","15 - 19","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","15 - 19","Clerks (ISCO 88 - 4)"
"Seychelles","Male","15 - 19","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","15 - 19","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","15 - 19","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","15 - 19","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","15 - 19","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","15 - 19","Unknown"
"Seychelles","Male","15 - 19","Total (ISCO 88)"
"Seychelles","Male","20 - 24","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","20 - 24","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","20 - 24","Professionals (ISCO 88 - 2)"
"Seychelles","Male","20 - 24","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","20 - 24","Clerks (ISCO 88 - 4)"
"Seychelles","Male","20 - 24","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","20 - 24","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","20 - 24","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","20 - 24","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","20 - 24","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","20 - 24","Unknown"
"Seychelles","Male","20 - 24","Total (ISCO 88)"
"Seychelles","Male","25 - 29","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","25 - 29","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","25 - 29","Professionals (ISCO 88 - 2)"
"Seychelles","Male","25 - 29","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","25 - 29","Clerks (ISCO 88 - 4)"
"Seychelles","Male","25 - 29","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","25 - 29","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","25 - 29","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","25 - 29","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","25 - 29","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","25 - 29","Unknown"
"Seychelles","Male","25 - 29","Total (ISCO 88)"
"Seychelles","Male","30 - 34","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","30 - 34","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","30 - 34","Professionals (ISCO 88 - 2)"
"Seychelles","Male","30 - 34","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","30 - 34","Clerks (ISCO 88 - 4)"
"Seychelles","Male","30 - 34","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","30 - 34","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","30 - 34","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","30 - 34","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","30 - 34","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","30 - 34","Unknown"
"Seychelles","Male","30 - 34","Total (ISCO 88)"
"Seychelles","Male","35 - 39","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","35 - 39","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","35 - 39","Professionals (ISCO 88 - 2)"
"Seychelles","Male","35 - 39","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","35 - 39","Clerks (ISCO 88 - 4)"
"Seychelles","Male","35 - 39","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","35 - 39","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","35 - 39","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","35 - 39","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","35 - 39","Unknown"
"Seychelles","Male","35 - 39","Total (ISCO 88)"
"Seychelles","Male","40 - 44","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","40 - 44","Professionals (ISCO 88 - 2)"
"Seychelles","Male","40 - 44","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","40 - 44","Clerks (ISCO 88 - 4)"
"Seychelles","Male","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","40 - 44","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","40 - 44","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","40 - 44","Unknown"
"Seychelles","Male","40 - 44","Total (ISCO 88)"
"Seychelles","Male","45 - 49","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","45 - 49","Professionals (ISCO 88 - 2)"
"Seychelles","Male","45 - 49","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","45 - 49","Clerks (ISCO 88 - 4)"
"Seychelles","Male","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","45 - 49","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","45 - 49","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","45 - 49","Unknown"
"Seychelles","Male","45 - 49","Total (ISCO 88)"
"Seychelles","Male","50 - 54","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","50 - 54","Professionals (ISCO 88 - 2)"
"Seychelles","Male","50 - 54","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","50 - 54","Clerks (ISCO 88 - 4)"
"Seychelles","Male","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","50 - 54","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","50 - 54","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","50 - 54","Unknown"
"Seychelles","Male","50 - 54","Total (ISCO 88)"
"Seychelles","Male","55 - 59","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","55 - 59","Professionals (ISCO 88 - 2)"
"Seychelles","Male","55 - 59","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","55 - 59","Clerks (ISCO 88 - 4)"
"Seychelles","Male","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","55 - 59","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","55 - 59","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","55 - 59","Unknown"
"Seychelles","Male","55 - 59","Total (ISCO 88)"
"Seychelles","Male","60 - 64","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","60 - 64","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","60 - 64","Professionals (ISCO 88 - 2)"
"Seychelles","Male","60 - 64","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","60 - 64","Clerks (ISCO 88 - 4)"
"Seychelles","Male","60 - 64","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","60 - 64","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","60 - 64","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","60 - 64","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","60 - 64","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","60 - 64","Unknown"
"Seychelles","Male","60 - 64","Total (ISCO 88)"
"Seychelles","Male","65 +","Armed forces (ISCO 88 - 0)"
"Seychelles","Male","65 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Male","65 +","Professionals (ISCO 88 - 2)"
"Seychelles","Male","65 +","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Male","65 +","Clerks (ISCO 88 - 4)"
"Seychelles","Male","65 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Male","65 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Male","65 +","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Male","65 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Male","65 +","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Male","65 +","Unknown"
"Seychelles","Male","65 +","Total (ISCO 88)"
"Seychelles","Female","10 - 14","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","10 - 14","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","10 - 14","Professionals (ISCO 88 - 2)"
"Seychelles","Female","10 - 14","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","10 - 14","Clerks (ISCO 88 - 4)"
"Seychelles","Female","10 - 14","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","10 - 14","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","10 - 14","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","10 - 14","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","10 - 14","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","10 - 14","Unknown"
"Seychelles","Female","10 - 14","Total (ISCO 88)"
"Seychelles","Female","10 +","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","10 +","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","10 +","Professionals (ISCO 88 - 2)"
"Seychelles","Female","10 +","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","10 +","Clerks (ISCO 88 - 4)"
"Seychelles","Female","10 +","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","10 +","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","10 +","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","10 +","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","10 +","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","10 +","Unknown"
"Seychelles","Female","10 +","Total (ISCO 88)"
"Seychelles","Female","15 - 19","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","15 - 19","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","15 - 19","Professionals (ISCO 88 - 2)"
"Seychelles","Female","15 - 19","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","15 - 19","Clerks (ISCO 88 - 4)"
"Seychelles","Female","15 - 19","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","15 - 19","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","15 - 19","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","15 - 19","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","15 - 19","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","15 - 19","Unknown"
"Seychelles","Female","15 - 19","Total (ISCO 88)"
"Seychelles","Female","20 - 24","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","20 - 24","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","20 - 24","Professionals (ISCO 88 - 2)"
"Seychelles","Female","20 - 24","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","20 - 24","Clerks (ISCO 88 - 4)"
"Seychelles","Female","20 - 24","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","20 - 24","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","20 - 24","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","20 - 24","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","20 - 24","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","20 - 24","Unknown"
"Seychelles","Female","20 - 24","Total (ISCO 88)"
"Seychelles","Female","25 - 29","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","25 - 29","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","25 - 29","Professionals (ISCO 88 - 2)"
"Seychelles","Female","25 - 29","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","25 - 29","Clerks (ISCO 88 - 4)"
"Seychelles","Female","25 - 29","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","25 - 29","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","25 - 29","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","25 - 29","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","25 - 29","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","25 - 29","Unknown"
"Seychelles","Female","25 - 29","Total (ISCO 88)"
"Seychelles","Female","30 - 34","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","30 - 34","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","30 - 34","Professionals (ISCO 88 - 2)"
"Seychelles","Female","30 - 34","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","30 - 34","Clerks (ISCO 88 - 4)"
"Seychelles","Female","30 - 34","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","30 - 34","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","30 - 34","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","30 - 34","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","30 - 34","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","30 - 34","Unknown"
"Seychelles","Female","30 - 34","Total (ISCO 88)"
"Seychelles","Female","35 - 39","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","35 - 39","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","35 - 39","Professionals (ISCO 88 - 2)"
"Seychelles","Female","35 - 39","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","35 - 39","Clerks (ISCO 88 - 4)"
"Seychelles","Female","35 - 39","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","35 - 39","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","35 - 39","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","35 - 39","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","35 - 39","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","35 - 39","Unknown"
"Seychelles","Female","35 - 39","Total (ISCO 88)"
"Seychelles","Female","40 - 44","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","40 - 44","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","40 - 44","Professionals (ISCO 88 - 2)"
"Seychelles","Female","40 - 44","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","40 - 44","Clerks (ISCO 88 - 4)"
"Seychelles","Female","40 - 44","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","40 - 44","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","40 - 44","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","40 - 44","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","40 - 44","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","40 - 44","Unknown"
"Seychelles","Female","40 - 44","Total (ISCO 88)"
"Seychelles","Female","45 - 49","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","45 - 49","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","45 - 49","Professionals (ISCO 88 - 2)"
"Seychelles","Female","45 - 49","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","45 - 49","Clerks (ISCO 88 - 4)"
"Seychelles","Female","45 - 49","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","45 - 49","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","45 - 49","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","45 - 49","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","45 - 49","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","45 - 49","Unknown"
"Seychelles","Female","45 - 49","Total (ISCO 88)"
"Seychelles","Female","50 - 54","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","50 - 54","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","50 - 54","Professionals (ISCO 88 - 2)"
"Seychelles","Female","50 - 54","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","50 - 54","Clerks (ISCO 88 - 4)"
"Seychelles","Female","50 - 54","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","50 - 54","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","50 - 54","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","50 - 54","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","50 - 54","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","50 - 54","Unknown"
"Seychelles","Female","50 - 54","Total (ISCO 88)"
"Seychelles","Female","55 - 59","Armed forces (ISCO 88 - 0)"
"Seychelles","Female","55 - 59","Legislators, senior officials and managers (ISCO 88 - 1)"
"Seychelles","Female","55 - 59","Professionals (ISCO 88 - 2)"
"Seychelles","Female","55 - 59","Technicians and associate professionals (ISCO 88 - 3)"
"Seychelles","Female","55 - 59","Clerks (ISCO 88 - 4)"
"Seychelles","Female","55 - 59","Service workers and shop and market sales workers (ISCO 88 - 5)"
"Seychelles","Female","55 - 59","Skilled agricultural and fishery workers (ISCO 88 - 6)"
"Seychelles","Female","55 - 59","Craft and related trades workers (ISCO 88 - 7)"
"Seychelles","Female","55 - 59","Plant and machine operators and assemblers (ISCO 88 - 8)"
"Seychelles","Female","55 - 59","Elementary occupations (ISCO 88 - 9)"
"Seychelles","Female","55 - 59","Unknown"
"Seychelles","Female","55 - 59","Total (ISCO 88)"
"Seychelles","Female","60 - 64","Armed forces (ISCO 88 - 0)"
